id,카테고리,활동,시설명,섬,주소,전화번호,홈페이지,출처,검색링크
343,체험,풀등 체험,대이작도 해양생태관,대이작도,인천광역시 옹진군 자월면 이작리,,,,https://search.naver.com/search.naver?query=%EB%8C%80%EC%9D%B4%EC%9E%91%EB%8F%84%20%EB%8C%80%EC%9D%B4%EC%9E%91%EB%8F%84%20%ED%95%B4%EC%96%91%EC%83%9D%ED%83%9C%EA%B4%80%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
347,체험,풀등 체험,풀등,대이작도,인천광역시 옹진군 자월면 이작리,,,,https://search.naver.com/search.naver?query=%EB%8C%80%EC%9D%B4%EC%9E%91%EB%8F%84%20%ED%92%80%EB%93%B1%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
361,체험,짚라인,하나개해수욕장 짚라인,무의도,인천광역시 영종구 무의동,,,,https://search.naver.com/search.naver?query=%EB%AC%B4%EC%9D%98%EB%8F%84%20%ED%95%98%EB%82%98%EA%B0%9C%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5%20%EC%A7%9A%EB%9D%BC%EC%9D%B8%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
376,체험,낚시,항포낚시터,석모도,인천광역시 강화군 삼산면 삼산서로310번길 21,,https://cafe.naver.com/chamiik/,관광공사(항포낚시터),https://search.naver.com/search.naver?query=%EC%84%9D%EB%AA%A8%EB%8F%84%20%ED%95%AD%ED%8F%AC%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
388,체험,수련단체활동,연평평화안보수련원,연평도,인천광역시 옹진군 연평면 연평중앙로24번길 25,,https://www.ongjin.go.kr/open_content/security/,관광공사(연평평화안보수련원),https://search.naver.com/search.naver?query=%EC%97%B0%ED%8F%89%EB%8F%84%20%EC%97%B0%ED%8F%89%ED%8F%89%ED%99%94%EC%95%88%EB%B3%B4%EC%88%98%EB%A0%A8%EC%9B%90%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
392,체험,낚시,만정바다낚시터,영종도,,,,,https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EB%A7%8C%EC%A0%95%EB%B0%94%EB%8B%A4%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
393,체험,낚시,만정바다좌대낚시터,영종도,인천광역시 영종구 영종순환로 279-20 (중산동),,,관광공사(만정바다좌대낚시터),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EB%A7%8C%EC%A0%95%EB%B0%94%EB%8B%A4%EC%A2%8C%EB%8C%80%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
394,체험,낚시,만정사계절바다낚시터,영종도,인천광역시 영종구 영종순환로 279-20 (중산동),,http://cafe.naver.com/yj4season,관광공사(만정사계절바다낚시터),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EB%A7%8C%EC%A0%95%EC%82%AC%EA%B3%84%EC%A0%88%EB%B0%94%EB%8B%A4%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
396,체험,골프,베르힐컨트리클럽/영종,영종도,,,https://www.verthillccyj.com/,,https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EB%B2%A0%EB%A5%B4%ED%9E%90%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%2F%EC%98%81%EC%A2%85%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
397,체험,낚시,삼성호낚시슈퍼,영종도,,,,,https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EC%82%BC%EC%84%B1%ED%98%B8%EB%82%9A%EC%8B%9C%EC%8A%88%ED%8D%BC%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
402,체험,모노레일,영종씨사이드레일바이크,영종도,,032-719-7778,https://www.insiseol.or.kr/park/seaside/facility/railbike.jsp,인천시설공단 씨사이드파크(레일바이크),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EC%98%81%EC%A2%85%EC%94%A8%EC%82%AC%EC%9D%B4%EB%93%9C%EB%A0%88%EC%9D%BC%EB%B0%94%EC%9D%B4%ED%81%AC%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
403,체험,골프,오렌지듄스영종골프클럽,영종도,,,https://www.orangedunesyj.com/,,https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EC%98%A4%EB%A0%8C%EC%A7%80%EB%93%84%EC%8A%A4%EC%98%81%EC%A2%85%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
408,체험,낚시,천혜바다낚시터,영종도,,,,,https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EC%B2%9C%ED%98%9C%EB%B0%94%EB%8B%A4%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
409,체험,낚시,천혜사랑바다낚시터,영종도,,,,,https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EC%B2%9C%ED%98%9C%EC%82%AC%EB%9E%91%EB%B0%94%EB%8B%A4%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
410,체험,골프,클럽72CC/레이크코스,영종도,,032-270-7272,https://www.onetheclub.com/club72/main,클럽72 코스별 예약(레이크),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%ED%81%B4%EB%9F%BD72CC%2F%EB%A0%88%EC%9D%B4%ED%81%AC%EC%BD%94%EC%8A%A4%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
411,체험,골프,클럽72CC/바다코스,영종도,,032-270-7272,https://www.onetheclub.com/club72/main,클럽72 코스별 예약(바다),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%ED%81%B4%EB%9F%BD72CC%2F%EB%B0%94%EB%8B%A4%EC%BD%94%EC%8A%A4%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
412,체험,골프,클럽72CC/오션코스,영종도,,1599-0072,https://www.onetheclub.com/club72/main,클럽72 통합예약(오션),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%ED%81%B4%EB%9F%BD72CC%2F%EC%98%A4%EC%85%98%EC%BD%94%EC%8A%A4%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
413,체험,골프,클럽72CC/클래식코스,영종도,,1599-0072,https://www.onetheclub.com/club72/main,클럽72 통합예약(클래식),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%ED%81%B4%EB%9F%BD72CC%2F%ED%81%B4%EB%9E%98%EC%8B%9D%EC%BD%94%EC%8A%A4%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
414,체험,골프,클럽72CC/하늘코스,영종도,,032-270-7128,https://www.onetheclub.com/club72/main,클럽72 코스별 예약(하늘),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%ED%81%B4%EB%9F%BD72CC%2F%ED%95%98%EB%8A%98%EC%BD%94%EC%8A%A4%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
423,체험,해루질,영흥도 해루질 포인트,영흥도,인천광역시 옹진군 영흥면,,,,https://search.naver.com/search.naver?query=%EC%98%81%ED%9D%A5%EB%8F%84%20%EC%98%81%ED%9D%A5%EB%8F%84%20%ED%95%B4%EB%A3%A8%EC%A7%88%20%ED%8F%AC%EC%9D%B8%ED%8A%B8%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
425,체험,낚시,영흥바다낚시터,영흥도,인천광역시 옹진군 영흥면 영흥로176번길 21,,,관광공사(영흥바다낚시터),https://search.naver.com/search.naver?query=%EC%98%81%ED%9D%A5%EB%8F%84%20%EC%98%81%ED%9D%A5%EB%B0%94%EB%8B%A4%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
426,체험,낚시,용담바다낚시터,영흥도,인천광역시 옹진군 영흥면 외리 21,,,관광공사(용담바다낚시터),https://search.naver.com/search.naver?query=%EC%98%81%ED%9D%A5%EB%8F%84%20%EC%9A%A9%EB%8B%B4%EB%B0%94%EB%8B%A4%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
295,힐링,섬마을 투어,강화 용두레마을,강화도,인천광역시 강화군 내가면 황청포구로385번길 8,032-933-5711,https://itour.incheon.go.kr/ssst/ssst/detail.do?pgListMode=S&cotId=ITD21122714555284277,관광공사(강화 용두레마을),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%20%EC%9A%A9%EB%91%90%EB%A0%88%EB%A7%88%EC%9D%84%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
297,힐링,섬마을 투어,강화 화문석마을,강화도,인천광역시 강화군 송해면 전망대로468번길 11,032-934-2290,https://itour.incheon.go.kr/ssst/ssst/detail.do?pgListMode=S&cotId=ITD21121610485525595,관광공사(강화 화문석마을),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%20%ED%99%94%EB%AC%B8%EC%84%9D%EB%A7%88%EC%9D%84%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
325,힐링,온천-스파,유니아일랜드골프앤스파리조트,강화도,,,,,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EC%9C%A0%EB%8B%88%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%EA%B3%A8%ED%94%84%EC%95%A4%EC%8A%A4%ED%8C%8C%EB%A6%AC%EC%A1%B0%ED%8A%B8%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
337,힐링,섬마을 투어,난정리 해바라기마을 정원,교동도,인천광역시 강화군 교동면 난정리 741-3,032-832-3031,https://itour.incheon.go.kr/ssst/ssst/detail.do?pgListMode=S&cotId=APD21112609135816163,관광공사(난정리 해바라기마을 정원),https://search.naver.com/search.naver?query=%EA%B5%90%EB%8F%99%EB%8F%84%20%EB%82%9C%EC%A0%95%EB%A6%AC%20%ED%95%B4%EB%B0%94%EB%9D%BC%EA%B8%B0%EB%A7%88%EC%9D%84%20%EC%A0%95%EC%9B%90%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
338,힐링,섬마을 투어,대룡시장,교동도,인천광역시 강화군 교동면 대룡리,032-930-3124,,강화군 관광과,https://search.naver.com/search.naver?query=%EA%B5%90%EB%8F%99%EB%8F%84%20%EB%8C%80%EB%A3%A1%EC%8B%9C%EC%9E%A5%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
341,힐링,은하수 체험,굴업도 은하수 관측지,굴업도,인천광역시 옹진군 덕적면 굴업리,032-899-2253,,관할 덕적면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EA%B5%B4%EC%97%85%EB%8F%84%20%EA%B5%B4%EC%97%85%EB%8F%84%20%EC%9D%80%ED%95%98%EC%88%98%20%EA%B4%80%EC%B8%A1%EC%A7%80%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
345,힐링,섬마을 투어,삼신할미약수터,대이작도,인천광역시 옹진군 자월면 이작리,032-899-2114,,관할 자월면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EB%8C%80%EC%9D%B4%EC%9E%91%EB%8F%84%20%EC%82%BC%EC%8B%A0%ED%95%A0%EB%AF%B8%EC%95%BD%EC%88%98%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
351,힐링,산림욕,능동자갈마당,덕적도,인천광역시 옹진군 덕적면 북리,032-899-2253,,관할 덕적면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EB%8D%95%EC%A0%81%EB%8F%84%20%EB%8A%A5%EB%8F%99%EC%9E%90%EA%B0%88%EB%A7%88%EB%8B%B9%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
354,힐링,산림욕,서포리웰빙삼림욕산책로,덕적도,인천광역시 옹진군 덕적면 덕적남로606번길 6,032-899-2253,https://itour.incheon.go.kr/ssst/ssst/detail.do?cotId=APD21120710052220112#guide,관할 덕적면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EB%8D%95%EC%A0%81%EB%8F%84%20%EC%84%9C%ED%8F%AC%EB%A6%AC%EC%9B%B0%EB%B9%99%EC%82%BC%EB%A6%BC%EC%9A%95%EC%82%B0%EC%B1%85%EB%A1%9C%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
364,힐링,섬마을 투어,문갑도 벽화마을,문갑도,인천광역시 옹진군 덕적면 문갑리,032-899-2253,,관할 덕적면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EB%AC%B8%EA%B0%91%EB%8F%84%20%EB%AC%B8%EA%B0%91%EB%8F%84%20%EB%B2%BD%ED%99%94%EB%A7%88%EC%9D%84%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
368,힐링,물범 관찰,백령도 점박이물범 관찰지,백령도,인천광역시 옹진군 백령면 진촌리,032-899-3510,,관할 백령면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EB%B0%B1%EB%A0%B9%EB%8F%84%20%EB%B0%B1%EB%A0%B9%EB%8F%84%20%EC%A0%90%EB%B0%95%EC%9D%B4%EB%AC%BC%EB%B2%94%20%EA%B4%80%EC%B0%B0%EC%A7%80%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
373,힐링,섬마을 투어,보문사,석모도,인천광역시 강화군 삼산면 삼산남로,032-933-8271,,강화군 관광안내(보문사),https://search.naver.com/search.naver?query=%EC%84%9D%EB%AA%A8%EB%8F%84%20%EB%B3%B4%EB%AC%B8%EC%82%AC%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
374,힐링,온천-스파,석모도미네랄스파,석모도,,032-930-7053,https://seongmodo.imweb.me/tour4,강화군 관광안내(석모도 미네랄온천),https://search.naver.com/search.naver?query=%EC%84%9D%EB%AA%A8%EB%8F%84%20%EC%84%9D%EB%AA%A8%EB%8F%84%EB%AF%B8%EB%84%A4%EB%9E%84%EC%8A%A4%ED%8C%8C%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
382,힐링,섬마을 투어,촛대바위,승봉도,인천광역시 옹진군 자월면 승봉리,032-899-2114,,관할 자월면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EC%8A%B9%EB%B4%89%EB%8F%84%20%EC%B4%9B%EB%8C%80%EB%B0%94%EC%9C%84%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
383,힐링,섬마을 투어,배미꾸미해변 조각공원,신도·시도·모도,인천광역시 옹진군 북도면 모도리,032-899-3414,,관할 북도면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EC%8B%A0%EB%8F%84%C2%B7%EC%8B%9C%EB%8F%84%C2%B7%EB%AA%A8%EB%8F%84%20%EB%B0%B0%EB%AF%B8%EA%BE%B8%EB%AF%B8%ED%95%B4%EB%B3%80%20%EC%A1%B0%EA%B0%81%EA%B3%B5%EC%9B%90%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
385,힐링,섬마을 투어,시도염전,신도·시도·모도,인천광역시 옹진군 북도면 시도리,032-899-3414,,관할 북도면(관광공사 안내번호),https://search.naver.com/search.naver?query=%EC%8B%A0%EB%8F%84%C2%B7%EC%8B%9C%EB%8F%84%C2%B7%EB%AA%A8%EB%8F%84%20%EC%8B%9C%EB%8F%84%EC%97%BC%EC%A0%84%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
387,힐링,섬마을 투어,연평도 안보 여행코스,연평도,인천광역시 옹진군 연평중앙로24번길 3,,,,https://search.naver.com/search.naver?query=%EC%97%B0%ED%8F%89%EB%8F%84%20%EC%97%B0%ED%8F%89%EB%8F%84%20%EC%95%88%EB%B3%B4%20%EC%97%AC%ED%96%89%EC%BD%94%EC%8A%A4%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
399,힐링,일몰 감상,선녀바위해변,영종도,인천광역시 영종구 용유로380번길 21,032-760-7497,,관할 영종구(관광공사 안내번호),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EC%84%A0%EB%85%80%EB%B0%94%EC%9C%84%ED%95%B4%EB%B3%80%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
400,힐링,온천-스파,씨사이드파크해수족욕장,영종도,,032-456-2972,https://www.insiseol.or.kr/park/seaside/,인천시설공단 씨사이드파크(대표),https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%EC%94%A8%EC%82%AC%EC%9D%B4%EB%93%9C%ED%8C%8C%ED%81%AC%ED%95%B4%EC%88%98%EC%A1%B1%EC%9A%95%EC%9E%A5%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
415,힐링,온천-스파,파라다이스시티/씨메르,영종도,,,https://www.p-city.com/front/cimer/overview?language=KO,,https://search.naver.com/search.naver?query=%EC%98%81%EC%A2%85%EB%8F%84%20%ED%8C%8C%EB%9D%BC%EB%8B%A4%EC%9D%B4%EC%8A%A4%EC%8B%9C%ED%8B%B0%2F%EC%94%A8%EB%A9%94%EB%A5%B4%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
421,힐링,산림욕,십리포해수욕장 소사나무 군락지,영흥도,인천광역시 옹진군 영흥면 영흥북로 420-26,,,,https://search.naver.com/search.naver?query=%EC%98%81%ED%9D%A5%EB%8F%84%20%EC%8B%AD%EB%A6%AC%ED%8F%AC%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5%20%EC%86%8C%EC%82%AC%EB%82%98%EB%AC%B4%20%EA%B5%B0%EB%9D%BD%EC%A7%80%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
428,힐링,일몰 감상,장경리해수욕장,영흥도,인천광역시 옹진군 영흥면 영흥로757번길 6,,,,https://search.naver.com/search.naver?query=%EC%98%81%ED%9D%A5%EB%8F%84%20%EC%9E%A5%EA%B2%BD%EB%A6%AC%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
429,힐링,섬마을 투어,통일사,영흥도,인천광역시 옹진군 영흥면 영흥로722번길 146,032-886-7529,https://www.ongjin.go.kr/open_content/tour/#,관광공사(통일사),https://search.naver.com/search.naver?query=%EC%98%81%ED%9D%A5%EB%8F%84%20%ED%86%B5%EC%9D%BC%EC%82%AC%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
291,육상,트레킹,[강화 나들길 제2코스] 호국돈대길,강화도,인천광역시 강화군 강화읍 해안동로1366번길 18,032-930-3124,http://www.nadeulgil.org,강화군 관광과,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%5B%EA%B0%95%ED%99%94%20%EB%82%98%EB%93%A4%EA%B8%B8%20%EC%A0%9C2%EC%BD%94%EC%8A%A4%5D%20%ED%98%B8%EA%B5%AD%EB%8F%88%EB%8C%80%EA%B8%B8%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
292,육상,트레킹,[강화 나들길 제3코스] 고려왕릉 가는 길,강화도,인천광역시 강화군 강화읍 청하동길 24,032-930-3124,https://www.nadeulgil.org/?c=1/6/64,강화군 관광과,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%5B%EA%B0%95%ED%99%94%20%EB%82%98%EB%93%A4%EA%B8%B8%20%EC%A0%9C3%EC%BD%94%EC%8A%A4%5D%20%EA%B3%A0%EB%A0%A4%EC%99%95%EB%A6%89%20%EA%B0%80%EB%8A%94%20%EA%B8%B8%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
293,육상,트레킹,[강화 나들길 제4코스] 해가 지는 마을 길,강화도,인천광역시 강화군 강화읍 청하동길 24,032-930-3124,https://www.ganghwa.go.kr/open_content/tour/around/nadeul/c4.jsp,강화군 관광과,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%5B%EA%B0%95%ED%99%94%20%EB%82%98%EB%93%A4%EA%B8%B8%20%EC%A0%9C4%EC%BD%94%EC%8A%A4%5D%20%ED%95%B4%EA%B0%80%20%EC%A7%80%EB%8A%94%20%EB%A7%88%EC%9D%84%20%EA%B8%B8%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
294,육상,트레킹,[강화 나들길 제8코스] 철새 보러 가는 길,강화도,인천광역시 강화군 강화읍 청하동길 24,032-930-3124,https://www.ganghwa.go.kr/open_content/tour/around/nadeul/c8.jsp,강화군 관광과,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%5B%EA%B0%95%ED%99%94%20%EB%82%98%EB%93%A4%EA%B8%B8%20%EC%A0%9C8%EC%BD%94%EC%8A%A4%5D%20%EC%B2%A0%EC%83%88%20%EB%B3%B4%EB%9F%AC%20%EA%B0%80%EB%8A%94%20%EA%B8%B8%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
296,육상,자전거,강화 자전거 관광코스,강화도,인천광역시 강화군 강화읍,032-930-3124,http://www.ganghwa.go.kr/open_content/tour/trip/bike/all.jsp,강화군 관광과,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%20%EC%9E%90%EC%A0%84%EA%B1%B0%20%EA%B4%80%EA%B4%91%EC%BD%94%EC%8A%A4%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
299,육상,캠핑,강화고인돌캠핑장,강화도,인천광역시 강화군 하점면 강화대로 994-40,010-3699-2499,https://www.camfit.co.kr/camp/60ed4244d46a51001e0870a5,강화군청 야영장목록,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%EA%B3%A0%EC%9D%B8%EB%8F%8C%EC%BA%A0%ED%95%91%EC%9E%A5%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
304,육상,캠핑,강화카라반해변,강화도,인천광역시 강화군 화도면 해안남로 2669,,http://xn--939a79sfudd5x85i.com/about.html?tab=1,관광공사(강화카라반해변),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%EC%B9%B4%EB%9D%BC%EB%B0%98%ED%95%B4%EB%B3%80%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
