contentid,title,addr1,addr2,mapy,mapx,status,region,islandId,islandName,method,confidence,reason,candidates
"2755756","명성가족캠핑촌","인천광역시 옹진군 영흥면 영흥로722번길 43","","37.2730957580","126.4563739778","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2792621","모모카라반","인천광역시 옹진군 영흥면 영흥로757번길 176","","37.2670602097","126.4484748618","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2758228","민머루잼머","인천광역시 강화군 삼산면 어류정길198번길 6","","37.6537410570","126.3364439275","MATCHED","강화도권역","seok","석모도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 석모도",""
"2908217","바다다 캠핑장","인천광역시 강화군 화도면 내리 2146-2","","37.6363855057","126.3798293210","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2747245","바다로글램핑","인천광역시 강화군 화도면 해안남로 2421-228","","37.6218232624","126.3768772162","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2740138","바다캠핑장","인천광역시 강화군 화도면 해안남로 2355-7","","37.6133882279","126.3822130724","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2734307","블랙트리캠핑","인천광역시 옹진군 영흥면 영흥로757번길 234-13","","37.2642771882","126.4478444395","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2782235","서포리웰빙삼림욕산책로","인천광역시 옹진군 덕적면 덕적남로606번길 6","","37.2230790346","126.1171673725","MATCHED","덕적도권역","deokj","덕적도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 덕적도",""
"2744549","서해캠핑장","인천광역시 영종구 용유서로423번길 41 (을왕동)","","37.4576977742","126.3681519792","MATCHED","영종구·서해구권역","yeongj","영종도","ADMIN_AREA_FALLBACK","0.92","무의·소무의도 예외를 제외한 영종구",""
"2768057","선두바다낚시터","인천광역시 강화군 길상면 해안남로 673-15","","37.6000472647","126.4921061611","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2013518","선두포저수지","인천광역시 강화군 길상면 보리고개로 13","","37.6215055124","126.4714046821","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2734755","솔바다캠핑장","인천광역시 옹진군 영흥면 영흥서로 527-14","","37.2746816309","126.4532769940","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2908169","스톤캠핑장","인천광역시 강화군 하점면 고려산로377번길 31","","37.7546972188","126.4089844729","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"1615829","신선낚시터","인천광역시 강화군 내가면 고비고개로741번길 37-48","","37.7199236130","126.4155126209","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2728912","씨사이드힐캠핑장","인천광역시 강화군 화도면 해안남로 2680-12","","37.6347522810","126.3751686824","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2740055","아르보리아 캠핑장","인천광역시 강화군 길상면 장흥로101번길 65","","37.6104713201","126.5074461346","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2710985","연평평화안보수련원","인천광역시 옹진군 연평면 연평중앙로24번길 25","","37.6654510122","125.7040350309","MATCHED","연평도권역","yeonp","연평도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 연평도",""
"2908042","영흥도어울림캠핑장","인천광역시 옹진군 영흥면 영흥서로 452-67","","37.2827640609","126.4552293736","MATCHED","영흥도권역","yheung","영흥도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 영흥도",""
"2767615","영흥바다낚시터","인천광역시 옹진군 영흥면 영흥로176번길 21","","37.2608061423","126.4922349350","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2730787","오크힐글램핑","인천광역시 강화군 화도면 해안남로1998번길 8-28","","37.6042953393","126.4105885040","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2731145","왕산가족오토캠핑장","인천광역시 영종구 용유서로423번길 60 (을왕동)","","37.4582032371","126.3662160311","MATCHED","영종구·서해구권역","yeongj","영종도","ADMIN_AREA_FALLBACK","0.92","무의·소무의도 예외를 제외한 영종구",""
"2767616","용담바다낚시터","인천광역시 옹진군 영흥면 외리 21","","37.2415525238","126.4752370080","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2743847","원스캠핑장","인천광역시 강화군 삼산면 삼산남로604번길 37","","37.6769411696","126.3387291872","MATCHED","강화도권역","seok","석모도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 석모도",""
"1615967","인산낚시터","인천광역시 강화군 양도면 중앙로787번길 8-1","","37.6989596685","126.4312617608","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2741533","장경리해변야영장","인천광역시 옹진군 영흥면 영흥로757번길 6","","37.2727206897","126.4499606833","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2734080","쥬라기카라반","인천광역시 강화군 길상면 해안남로 627-5","","37.6003250674","126.4953669667","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2791856","크로바캠핑장","인천광역시 강화군 길상면 해안남로 497-4","","37.5969423739","126.5093518920","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2754977","프랭클리 글램핑","인천광역시 강화군 선원면 시리미로237번길 32","","37.7285176780","126.4509535767","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2908012","하늘빛","인천광역시 옹진군 영흥면 영흥서로 527-26","","37.2744788840","126.4536908507","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2755488","하랑캠핑장","인천광역시 강화군 내가면 고천리 1259-14번지","","37.7113880470","126.3898540998","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"131489","함허동천야영장","인천광역시 강화군 화도면 해안남로1196번길 38","","37.6115119045","126.4527594435","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2768065","항포낚시터","인천광역시 강화군 삼산면 삼산서로310번길 21","","37.7060813071","126.2868053649","MATCHED","강화도권역","seok","석모도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 석모도",""
"2734083","행복한 소풍캠핑장","인천광역시 강화군 화도면 마니산로 902-15","","37.6387967037","126.4008328859","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2755691","헬로 카라반","인천광역시 강화군 삼산면 어류정길198번길 8","","37.6533522146","126.3365133764","MATCHED","강화도권역","seok","석모도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 석모도",""
"131033","황산지(장흥지)","인천광역시 강화군 길상면 장흥로 96-1","","37.6151208658","126.5123788879","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"1028474","[강화 나들길 제2코스] 호국돈대길","인천광역시 강화군 강화읍 해안동로1366번길 18","","37.7336321177","126.5160613555","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"1028544","[강화 나들길 제3코스] 고려왕릉 가는 길","인천광역시 강화군 강화읍 청하동길 24","","37.7458245442","126.4822613345","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"1028565","[강화 나들길 제4코스] 해가 지는 마을 길","인천광역시 강화군 강화읍 청하동길 24","","37.7458245442","126.4822613345","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"1075972","[강화 나들길 제8코스] 철새 보러 가는 길","인천광역시 강화군 강화읍 청하동길 24","","37.7458245442","126.4822613345","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
