"시설명","카테고리","섬","섬매핑상태","주소","위도","경도","출처","출처수","중복여부","통합후보","검증상태","판정","판정사유","연관관광지"
"강화레포츠파크","이색","강화도","MATCHED","인천광역시 강화군 불은면 중앙로 546-34","37.7148582113","126.4538675793","TOUR_CONTENT+LOCAL_HUB","2","중복통합","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"강화레포츠파크","이색","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","강화씨사이드리조트"
"강화루지","체험","강화도","MATCHED","","37.6168259959393","126.497949211366","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"강화루지","체험","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","강화고려궁지 / 강화고인돌 / 강화광성보"
"강화바다낚시터","해상레저","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","어류정항"
"강화카라반해변","해상레저","강화도","MATCHED","인천광역시 강화군 화도면 해안남로 2669","37.6359187923","126.3740437533","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"강화화개산모노레일","체험","강화도","MATCHED","","37.7836214191138","126.290224138038","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"강화화개산모노레일","체험","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","강화고인돌 / 강화도 / 강화씨사이드리조트"
"국화지낚시터","해상레저","강화도","MATCHED","인천광역시 강화군 강화읍 국화길 51","37.747374113","126.4680820355","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"글램조이","육상레저","강화도","MATCHED","인천광역시 강화군 해안서로 689","37.6888351221","126.3898602814","TOUR_CONTENT","1","단일","노을캠핑장","UNVERIFIED","MERGE","좌표 150m 이내 — 노을캠핑장 와 통합 검토",""
"길상가족낚시터","해상레저","강화도","MATCHED","인천광역시 강화군 길상면 초지로 453","37.6245528757","126.4996186818","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"길정 낚시터","해상레저","강화도","MATCHED","인천광역시 강화군 양도면 고려왕릉로 209","37.6638171566","126.4661845393","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"노을캠핑장","힐링","강화도","MATCHED","인천광역시 강화군 양도면 해안서로 695","37.6893628284","126.3892880966","TOUR_CONTENT","1","단일","글램조이","UNVERIFIED","MERGE","좌표 150m 이내 — 글램조이 와 통합 검토",""
"더숲캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 길상면 보리고개로 187-5","37.6275411986","126.487228066","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"렛츠고 강화캠핑","육상레저","강화도","MATCHED","인천광역시 강화군 화도면 동녘말길 238-13","37.62009344","126.4072411501","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"바다다 캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 화도면 내리 2146-2","37.6363855057","126.379829321","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"바다로글램핑","육상레저","강화도","MATCHED","인천광역시 강화군 화도면 해안남로 2421-228","37.6218232624","126.3768772162","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"바다캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 화도면 해안남로 2355-7","37.6133882279","126.3822130724","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"선두바다낚시터","해상레저","강화도","MATCHED","인천광역시 강화군 길상면 해안남로 673-15","37.6000472647","126.4921061611","TOUR_CONTENT+LOCAL_HUB","2","중복통합","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"선두바다낚시터","해상레저","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","강화도"
"선두포저수지","해상레저","강화도","MATCHED","인천광역시 강화군 길상면 보리고개로 13","37.6215055124","126.4714046821","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"스톤캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 하점면 고려산로377번길 31","37.7546972188","126.4089844729","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"신선낚시터","해상레저","강화도","MATCHED","인천광역시 강화군 내가면 고비고개로741번길 37-48","37.719923613","126.4155126209","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"씨사이드힐캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 화도면 해안남로 2680-12","37.634752281","126.3751686824","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"아르보리아 캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 길상면 장흥로101번길 65","37.6104713201","126.5074461346","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"오크힐글램핑","육상레저","강화도","MATCHED","인천광역시 강화군 화도면 해안남로1998번길 8-28","37.6042953393","126.410588504","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"유니아일랜드골프앤스파리조트","힐링","강화도","MATCHED","","37.6550598904551","126.346123005315","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"유니아일랜드골프앤스파리조트","힐링","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","민머루해수욕장 / 보문사 / 어류정항"
"인산낚시터","해상레저","강화도","MATCHED","인천광역시 강화군 양도면 중앙로787번길 8-1","37.6989596685","126.4312617608","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"인천광역시교육청난정평화교육원","이색","강화도","MATCHED","","37.77044706674366","126.2394832445824","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","레저 시설 여부 불명확(교육원) — 수동 검수 필요",""
"인천광역시교육청난정평화교육원","체험","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","레저 시설 여부 불명확(체험관광기타) — 수동 검수 필요","교동향교 / 대룡시장 / 망향대"
"쥬라기카라반","육상레저","강화도","MATCHED","인천광역시 강화군 길상면 해안남로 627-5","37.6003250674","126.4953669667","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"크로바캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 길상면 해안남로 497-4","37.5969423739","126.509351892","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"프랭클리 글램핑","육상레저","강화도","MATCHED","인천광역시 강화군 선원면 시리미로237번길 32","37.728517678","126.4509535767","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"하랑캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 내가면 고천리 1259-14번지","37.711388047","126.3898540998","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"함허동천야영장","육상레저","강화도","MATCHED","인천광역시 강화군 화도면 해안남로1196번길 38","37.6115119045","126.4527594435","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"항포낚시터","해상레저","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","석모도미네랄스파 / 석모도수목원 / 황청포구"
"행복한 소풍캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 화도면 마니산로 902-15","37.6387967037","126.4008328859","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"황산지(장흥지)","이색","강화도","MATCHED","인천광역시 강화군 길상면 장흥로 96-1","37.6151208658","126.5123788879","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"황청낚시터","해상레저","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","외포리선착장"
"교동아일랜드","이색","교동도","MATCHED","인천광역시 강화군 교동면 교동남로 275","37.7729098632","126.300855001","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"서포리웰빙삼림욕산책로","힐링","덕적도","MATCHED","인천광역시 옹진군 덕적면 덕적남로606번길 6","37.2230790346","126.1171673725","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"돌담캠핑가든","육상레저","석모도","MATCHED","인천광역시 강화군 삼산북로 397-1","37.7012575941","126.3282433636","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"민머루잼머","이색","석모도","MATCHED","인천광역시 강화군 삼산면 어류정길198번길 6","37.653741057","126.3364439275","TOUR_CONTENT","1","단일","헬로 카라반","UNVERIFIED","MERGE","좌표 150m 이내 — 헬로 카라반 와 통합 검토",""
"석모도미네랄스파","힐링","석모도","MATCHED","","37.685614772500486","126.31188401213183","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"석모도미네랄스파","힐링","석모도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","강화풍물시장 / 교동도 / 대룡시장"
"원스캠핑장","육상레저","석모도","MATCHED","인천광역시 강화군 삼산면 삼산남로604번길 37","37.6769411696","126.3387291872","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"항포낚시터","해상레저","석모도","MATCHED","인천광역시 강화군 삼산면 삼산서로310번길 21","37.7060813071","126.2868053649","TOUR_CONTENT+LOCAL_HUB","2","중복통합","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"헬로 카라반","육상레저","석모도","MATCHED","인천광역시 강화군 삼산면 어류정길198번길 8","37.6533522146","126.3365133764","TOUR_CONTENT","1","단일","민머루잼머","UNVERIFIED","MERGE","좌표 150m 이내 — 민머루잼머 와 통합 검토",""
"연평평화안보수련원","이색","연평도","MATCHED","인천광역시 옹진군 연평면 연평중앙로24번길 25","37.6654510122","125.7040350309","TOUR_CONTENT","1","단일","","UNVERIFIED","REVIEW","레저 시설 여부 불명확(수련원) — 수동 검수 필요",""
"락인뜰","이색","영종도","MATCHED","인천광역시 영종구 늘목로 38 (을왕동)","37.4542097734","126.3958189907","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"만정바다낚시터","해상레저","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","장봉선착장"
"만정바다좌대낚시터","해상레저","영종도","MATCHED","인천광역시 영종구 영종순환로 279-20 (중산동)","37.5158969367","126.5483200237","TOUR_CONTENT+LOCAL_HUB","2","중복통합","만정사계절바다낚시터","UNVERIFIED","MERGE","동일 주소 — 만정사계절바다낚시터 와 통합 검토",""
"만정바다좌대낚시터","해상레저","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","거잠포선착장 / 잠진도선착장"
"만정사계절바다낚시터","해상레저","영종도","MATCHED","인천광역시 영종구 영종순환로 279-20 (중산동)","37.5150026654","126.5522724652","TOUR_CONTENT","1","단일","만정바다좌대낚시터","UNVERIFIED","MERGE","동일 주소 — 만정바다좌대낚시터 와 통합 검토",""
"베르힐컨트리클럽/영종","이색","영종도","MATCHED","","37.52581334756877","126.56279424562064","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"삼성호낚시슈퍼","해상레저","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","신도선착장"
"서해캠핑장","육상레저","영종도","MATCHED","인천광역시 영종구 용유서로423번길 41 (을왕동)","37.4576977742","126.3681519792","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"씨사이드파크해수족욕장","이색","영종도","MATCHED","","37.47045437406631","126.51950895416206","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"영종구평생학습관","체험","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","영종역사관 / 장봉선착장"
"영종씨사이드레일바이크","체험","영종도","MATCHED","","37.4883583174538","126.57660361673","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"영종씨사이드레일바이크","체험","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","거잠포선착장 / 예단포선착장 / 파라다이스시티호텔"
"오렌지듄스영종골프클럽","이색","영종도","MATCHED","","37.434283","126.4552032","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"왕산가족오토캠핑장","육상레저","영종도","MATCHED","인천광역시 영종구 용유서로423번길 60 (을왕동)","37.4582032371","126.3662160311","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"인천광역시교육청교직원수련원","이색","영종도","MATCHED","","37.450278229205","126.373955648","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","레저 시설 여부 불명확(수련원) — 수동 검수 필요",""
"천혜바다낚시터","해상레저","영종도","MATCHED","","37.508744790179","126.56690986312","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"천혜사랑바다낚시터","해상레저","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","잠진도선착장"
"클럽72CC/레이크코스","이색","영종도","MATCHED","","37.47477599185","126.479029243505","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"클럽72CC/레이크코스","이색","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","삼목선착장"
"클럽72CC/바다코스","이색","영종도","MATCHED","","37.483441596862","126.468835644143","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"클럽72CC/바다코스","이색","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","삼목선착장"
"클럽72CC/오션코스","이색","영종도","MATCHED","","37.48991303909735","126.46347496024373","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"클럽72CC/클래식코스","이색","영종도","MATCHED","","37.47752563784576","126.47280755999705","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"클럽72CC/클래식코스","이색","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","삼목선착장 / 영종도"
"클럽72CC/하늘코스","이색","영종도","MATCHED","","37.4470570002769","126.482973581004","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"파라다이스시티/씨메르","힐링","영종도","MATCHED","","37.435669279858","126.456892711471","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요",""
"파라다이스시티/씨메르","힐링","영종도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","거잠포해변 / 용궁사 / 용유도해변"
"농어바위캠핑장","육상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 영흥서로 420-19","37.2818503398","126.4587846299","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"명성가족캠핑촌","육상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 영흥로722번길 43","37.273095758","126.4563739778","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"모모카라반","육상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 영흥로757번길 176","37.2670602097","126.4484748618","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"블랙트리캠핑","육상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 영흥로757번길 234-13","37.2642771882","126.4478444395","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"솔바다캠핑장","육상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 영흥서로 527-14","37.2746816309","126.453276994","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"영흥도어울림캠핑장","육상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 영흥서로 452-67","37.2827640609","126.4552293736","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"영흥바다낚시터","해상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 영흥로176번길 21","37.2608061423","126.492234935","TOUR_CONTENT+LOCAL_HUB","2","중복통합","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"용담바다낚시터","해상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 외리 21","37.2415525238","126.475237008","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"장경리해변야영장","해상레저","영흥도","MATCHED","인천광역시 옹진군 영흥면 영흥로757번길 6","37.2727206897","126.4499606833","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"갈매기배낚시","해상레저","","MAINLAND","인천광역시 제물포구 보세로 6-1","37.4876876432","126.6229917663","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"건설기술교육원/인천본원","체험","","MAINLAND","","","","RELATED_TOURISM","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님","외포리선착장"
"검단수로","해상레저","","MAINLAND","인천광역시 검단구 오류동 1460 (오류동)","37.5904168234","126.592627792","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"검디관광농원캠핑장","체험","","OUT_OF_SCOPE","인천광역시 강화군 길상면 동검길 159-47","37.5869797053","126.5127740779","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","동검도는 18개 서비스 섬 대상에서 제외",""
"계산국민체육센터","이색","","MAINLAND","인천광역시 계양구 주부토로 580","37.5461382805","126.7291748899","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"계양경기장","이색","","MAINLAND","인천광역시 계양구 봉오대로 855","37.5325151261","126.743898928","TOUR_CONTENT","1","단일","계양경기장 계양체육관","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"계양경기장 계양체육관","이색","","MAINLAND","인천광역시 계양구 봉오대로 855","37.5325151261","126.743898928","TOUR_CONTENT","1","단일","계양경기장","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"계양경기장 아시아드양궁장","이색","","MAINLAND","인천광역시 계양구 봉오대로 855 (서운동)","37.5311014098","126.7443683688","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"계양산 둘레길","육상레저","","MAINLAND","인천광역시 계양구 계양산로 101 (계산동)","37.548071351","126.7270444752","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"계양승마클럽","이색","","MAINLAND","","","","RELATED_TOURISM","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님","노가리해수욕장"
"동검도노을캠핑장","힐링","","OUT_OF_SCOPE","인천광역시 강화군 길상면 동검길 159-13","37.5873157243","126.5097632328","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","동검도는 18개 서비스 섬 대상에서 제외",""
"디스커버리 클라이밍스퀘어ICN","이색","","MAINLAND","인천광역시 검단구 완정로 70 (마전동)","37.598064476","126.6673290848","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"베어즈베스트청라GC","이색","","MAINLAND","인천광역시 서해구 청라대로316번길 45 (청라동)","37.5486780015","126.6359444422","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"선재낚시공원","해상레저","","OUT_OF_SCOPE","인천광역시 옹진군 영흥면 선재로226번길 164","37.2542685314","126.5220129578","TOUR_CONTENT","1","단일","선재바다낚시공원","EXCLUDED","EXCLUDED","선재도는 18개 서비스 섬 대상에서 제외",""
"선재바다낚시공원","해상레저","","REVIEW_REQUIRED","","37.254157297916855","126.52208637282487","LOCAL_HUB","1","단일","선재낚시공원","UNVERIFIED","REVIEW","18개 섬 또는 인천 본토로 안전하게 판정할 근거가 부족함",""
"선재바다낚시공원","해상레저","","REVIEW_REQUIRED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","18개 섬 또는 인천 본토로 안전하게 판정할 근거가 부족함","선재도 / 영흥도 / 장경리해변"
"선재오토캠핑장","육상레저","","OUT_OF_SCOPE","인천광역시 옹진군 영흥면 선재로186번길 86-37","37.2498191272","126.5265932179","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","선재도는 18개 서비스 섬 대상에서 제외",""
"소래바다낚시터","해상레저","","MAINLAND","인천광역시 남동구 소래로154번길 25-40","37.4069546535","126.7404721864","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"송도골프클럽","이색","","MAINLAND","인천광역시 연수구 능허대로 236 (옥련동)","37.4148632677","126.6510828905","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"송도골프클럽","이색","","MAINLAND","","","","RELATED_TOURISM","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님","진두선착장"
"연경산배드민턴장","이색","","MAINLAND","","","","RELATED_TOURISM","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님","건평항"
"오렌지듄스 GC","이색","","MAINLAND","인천광역시 연수구 인천신항대로 1120 (송도동)","37.3540498453","126.5920010669","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"인천광역시교육청교직원수련원/선재전당","이색","","REVIEW_REQUIRED","","37.238442510123","126.534026389997","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","레저 시설 여부 불명확(수련원) — 수동 검수 필요",""
"인천광역시교육청교직원수련원/선재전당","육상레저","","REVIEW_REQUIRED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","레저 시설 여부 불명확(육상레저스포츠) — 수동 검수 필요","목섬 / 십리포해변 / 장경리해변"
"인천그랜드CC","이색","","MAINLAND","인천광역시 서해구 원석로 195 (원창동)","37.5130294669","126.6414671533","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"인천시송도국제캠핑장","육상레저","","MAINLAND","인천광역시 연수구 지식기반로 60 (송도동)","37.361633246","126.6458903923","TOUR_CONTENT","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님",""
"인천청소년수련관","육상레저","","MAINLAND","","","","RELATED_TOURISM","1","단일","","EXCLUDED","EXCLUDED","인천 본토 — 섬 서비스 대상 아님","영종도"
